Time,action,price,stop_loss,take_profit,balance
17/12/2023 14:15,exit,41716.9,41485.3,42180.1,35503.88673691255
19/12/2023 01:15,buy,42792.8,42297.11428571429,43784.17142857143,35008.20102262684
19/12/2023 16:15,sell,42405.1,41804.928571428565,43605.44285714287,35608.37245119827
19/12/2023 16:15,exit,42405.1,41804.928571428565,43605.44285714287,35608.37245119827
20/12/2023 15:00,buy,44232.2,43510.85,45674.9,34896.205002174305
20/12/2023 18:30,buy,44104.8,43501.15714285715,45312.08571428571,34292.56214503145
20/12/2023 20:45,exit,43407.7,43501.15714285715,45312.08571428571,34222.85214503145
21/12/2023 05:30,sell,43519.8,43203.38571428572,44152.62857142858,33911.87643074573
21/12/2023 05:30,exit,43519.8,43203.38571428572,44152.62857142858,33911.87643074573
21/12/2023 19:15,sell,43430.1,42956.335714285706,44377.62857142858,34385.640716460024
21/12/2023 19:15,exit,43430.1,42956.335714285706,44377.62857142858,34385.640716460024
21/12/2023 21:30,buy,43973.5,43574.52142857143,44771.45714285715,33986.66214503145
22/12/2023 07:45,exit,43542.1,43574.52142857143,44771.45714285715,33943.52214503145
22/12/2023 16:30,sell,43502.5,43104.52857142857,44298.44285714286,33953.23357360288
22/12/2023 16:30,exit,43502.5,43104.52857142857,44298.44285714286,33953.23357360288
26/12/2023 05:00,sell,43202.5,42947.54285714286,43712.41428571429,34208.19071646002
26/12/2023 05:00,exit,43202.5,42947.54285714286,43712.41428571429,34208.19071646002
27/12/2023 05:00,buy,42372.5,42069.69285714286,42978.11428571429,33905.38357360288
27/12/2023 08:15,buy,42526.7,42297.67142857143,42984.75714285714,33676.35500217431
27/12/2023 10:15,buy,43015.4,42721.16428571429,43603.87142857143,33382.11928788859
27/12/2023 16:15,buy,43113.7,42614.58571428571,44111.928571428565,32883.00500217431
28/12/2023 12:15,sell,42930.5,42661.55,43468.4,33151.955002174305
28/12/2023 12:15,exit,42930.5,42661.55,43468.4,33151.955002174305
28/12/2023 18:30,sell,42380.2,41969.73571428571,43201.12857142858,33562.419287888595
28/12/2023 18:30,exit,42380.2,41969.73571428571,43201.12857142858,33562.419287888595
28/12/2023 20:00,sell,42407.6,42030.13571428571,43162.52857142858,33939.883573602885
28/12/2023 20:00,exit,42407.6,42030.13571428571,43162.52857142858,33939.883573602885
28/12/2023 23:15,buy,42670.9,42297.74285714286,43417.21428571428,33566.726430745744
29/12/2023 01:30,exit,42222.6,42297.74285714286,43417.21428571428,33521.89643074574
29/12/2023 14:30,buy,43016.2,42669.828571428574,43708.94285714284,32772.05500217432
29/12/2023 15:30,exit,42493.7,42669.828571428574,43708.94285714284,32719.80500217432
30/12/2023 03:15,sell,41755.6,41470.0,42326.8,32535.15500217432
30/12/2023 03:15,exit,41755.6,41470.0,42326.8,32535.15500217432
30/12/2023 07:15,sell,41925.1,41704.428571428565,42366.44285714287,32755.82643074575
30/12/2023 07:15,exit,41925.1,41704.428571428565,42366.44285714287,32755.82643074575
30/12/2023 08:15,sell,41808.1,41574.46428571428,42275.37142857143,32989.462145031466
30/12/2023 08:15,exit,41808.1,41574.46428571428,42275.37142857143,32989.462145031466
30/12/2023 09:30,sell,41507.1,41197.37142857143,42126.557142857135,33299.190716460034
30/12/2023 09:30,exit,41507.1,41197.37142857143,42126.557142857135,33299.190716460034
02/01/2024 07:00,buy,45323.8,44897.88571428572,46175.62857142856,32873.276430745755
02/01/2024 08:00,buy,45630.4,45139.87857142858,46611.44285714285,32382.75500217433
02/01/2024 15:00,exit,45098.9,45139.87857142858,46611.44285714285,32329.60500217433
03/01/2024 00:30,buy,45115.2,44595.40714285714,46154.78571428571,31331.462145031477
03/01/2024 07:30,sell,45136.2,44848.15714285714,45712.28571428571,31619.50500217433
03/01/2024 07:30,exit,45136.2,44848.15714285714,45712.28571428571,31619.50500217433
03/01/2024 08:45,buy,45163.5,44793.25714285715,45903.98571428571,31249.26214503148
03/01/2024 11:00,exit,44726.2,44793.25714285715,45903.98571428571,31205.53214503148
03/01/2024 14:00,sell,42275.7,40460.1,45906.9,32627.562145031472
03/01/2024 14:00,exit,42275.7,40460.1,45906.9,32627.562145031472
04/01/2024 01:15,sell,42696.3,42235.50000000001,43617.9,33088.36214503147
04/01/2024 01:15,exit,42696.3,42235.50000000001,43617.9,33088.36214503147
04/01/2024 05:30,buy,43196.2,42784.985714285714,44018.62857142856,32677.147859317185
04/01/2024 07:45,exit,42743.7,42784.985714285714,44018.62857142856,32631.897859317185
05/01/2024 12:15,buy,43909.7,43248.35,45232.4,31580.15490213084
05/01/2024 16:45,exit,43203.6,43248.35,45232.4,31509.544902130838
06/01/2024 20:00,sell,43750.3,43449.89285714286,44351.11428571429,31174.462044987984
06/01/2024 20:00,exit,43750.3,43449.89285714286,44351.11428571429,31174.462044987984
09/01/2024 21:00,buy,47847.6,47158.77857142857,49225.24285714285,30550.972804088226
09/01/2024 21:15,sell,45834.6,44529.19285714286,48445.41428571428,31856.37994694537
09/01/2024 21:15,exit,45834.6,44529.19285714286,48445.41428571428,31856.37994694537
10/01/2024 11:15,sell,45440.0,44992.67857142857,46334.642857142855,32303.701375516797
10/01/2024 11:15,exit,45440.0,44992.67857142857,46334.642857142855,32303.701375516797
10/01/2024 20:00,sell,45550.7,44187.60714285714,48276.88571428572,33666.79423265965
10/01/2024 20:00,exit,45550.7,44187.60714285714,48276.88571428572,33666.79423265965
12/01/2024 14:30,sell,45262.8,44612.87142857143,46562.65714285715,34316.722804088226
12/01/2024 14:30,exit,45262.8,44612.87142857143,46562.65714285715,34316.722804088226
13/01/2024 11:30,sell,42521.1,42054.70714285714,43453.88571428571,34783.11566123108
13/01/2024 11:30,exit,42521.1,42054.70714285714,43453.88571428571,34783.11566123108
14/01/2024 06:45,buy,42938.9,42732.45714285714,43351.78571428572,34576.67280408822
14/01/2024 12:45,exit,42717.2,42732.45714285714,43351.78571428572,34554.502804088224
14/01/2024 13:45,buy,42848.3,42576.75714285715,43391.38571428572,34083.42994694536
14/01/2024 19:00,sell,42775.5,42523.43571428572,43279.62857142856,34335.49423265964
14/01/2024 19:00,exit,42775.5,42523.43571428572,43279.62857142856,34335.49423265964
15/01/2024 10:45,sell,42511.4,42198.30714285715,43137.585714285706,34648.587089802495
15/01/2024 10:45,exit,42511.4,42198.30714285715,43137.585714285706,34648.587089802495
16/01/2024 09:15,buy,43009.7,42660.24285714285,43708.61428571429,34299.12994694535
16/01/2024 14:30,sell,42052.2,41497.65,43161.29999999999,34853.67994694535
16/01/2024 14:30,exit,42052.2,41497.65,43161.29999999999,34853.67994694535
17/01/2024 23:45,buy,42708.2,42319.207142857136,43486.18571428572,34464.687089802486
18/01/2024 07:00,buy,42816.0,42573.19285714286,43301.61428571429,34221.879946945344
18/01/2024 10:30,exit,42492.2,42573.19285714286,43301.61428571429,34189.49994694535
18/01/2024 14:45,buy,42677.0,42335.66428571429,43359.67142857143,33556.74423265963
18/01/2024 16:30,exit,42045.6,42335.66428571429,43359.67142857143,33493.60423265963
20/01/2024 03:45,buy,41543.2,41286.07857142857,42057.44285714286,32668.2228040882
20/01/2024 10:15,buy,41492.4,41271.64285714286,41933.91428571428,32447.465661231057
20/01/2024 20:00,buy,41605.5,41422.97142857142,41970.55714285716,32264.93708980248
21/01/2024 08:30,sell,41591.0,41475.62857142857,41821.74285714286,32380.30851837391
21/01/2024 08:30,exit,41591.0,41475.62857142857,41821.74285714286,32380.30851837391
21/01/2024 12:00,buy,41762.3,41598.45714285714,42089.98571428572,32216.46566123105
21/01/2024 15:30,exit,41594.9,41598.45714285714,42089.98571428572,32199.72566123105
21/01/2024 18:15,buy,41670.9,41468.16428571429,42076.37142857143,31846.32994694533
21/01/2024 22:45,sell,41548.9,41351.37142857143,41943.95714285714,32043.858518373905
21/01/2024 22:45,exit,41548.9,41351.37142857143,41943.95714285714,32043.858518373905
23/01/2024 20:00,buy,39284.3,38686.07857142858,40480.742857142846,31445.637089802483
26/01/2024 09:00,buy,40145.7,39951.77142857143,40533.55714285714,31251.70851837391
26/01/2024 10:30,exit,40585.9,39951.77142857143,40533.55714285714,31295.72851837391
27/01/2024 04:15,buy,41791.4,41595.735714285714,42182.728571428575,31496.24423265963
27/01/2024 06:30,sell,41663.8,41496.22857142857,41998.94285714287,31663.815661231063
27/01/2024 06:30,exit,41663.8,41496.22857142857,41998.94285714287,31663.815661231063
27/01/2024 08:45,sell,41429.7,41166.25714285714,41956.58571428571,31927.25851837392
27/01/2024 08:45,exit,41429.7,41166.25714285714,41956.58571428571,31927.25851837392
27/01/2024 22:15,buy,42144.6,41925.17142857143,42583.45714285714,31707.82994694535
28/01/2024 04:45,exit,42681.1,41925.17142857143,42583.45714285714,31761.47994694535
29/01/2024 01:00,buy,42037.3,41669.67142857143,42772.55714285716,31876.70137551677
29/01/2024 03:00,buy,42307.3,41986.66428571429,42948.57142857144,31556.065661231056
29/01/2024 08:00,exit,41952.8,41986.66428571429,42948.57142857144,31520.615661231055
29/01/2024 10:30,buy,42315.6,41977.92857142857,42990.94285714285,30863.89423265963
29/01/2024 13:15,exit,41958.1,41977.92857142857,42990.94285714285,30828.14423265963
29/01/2024 23:30,buy,43232.8,42956.47857142857,43785.44285714287,30230.072804088195
30/01/2024 01:00,buy,43337.1,43038.9,43933.49999999999,29931.8728040882
30/01/2024 14:15,buy,43362.6,42853.77857142857,44380.24285714285,29423.05137551677
