Time,action,price,stop_loss,take_profit,balance
24/09/2021 07:00,buy,44600.4,43950.96428571429,45899.271428571425,980.0
24/09/2021 09:00,exit,43440.3,-180.09999999999854,,
25/09/2021 01:00,sell,42434.8,41793.014285714286,43718.37142857144,461.68571428571886
25/09/2021 01:00,exit,42434.8,461.68571428571886,,
25/09/2021 08:45,buy,42632.1,41819.078571428574,44258.14285714285,452.4520000000045
26/09/2021 07:30,exit,41173.7,-1005.9479999999969,,
27/09/2021 00:30,buy,43404.8,42652.078571428574,44910.24285714286,-985.829039999997
27/09/2021 20:45,exit,42631.7,-1758.9290400000027,,
01/10/2021 10:15,buy,46399.7,45456.88571428571,48285.328571428574,-1723.7504592000028
01/10/2021 21:15,exit,48314.3,190.84954080000307,,
02/10/2021 23:15,sell,47731.7,47276.40714285714,48642.28571428571,646.1423979428596
02/10/2021 23:15,exit,47731.7,646.1423979428596,,
03/10/2021 00:30,sell,47500.0,47030.90714285715,48438.185714285704,1115.2352550857117
03/10/2021 00:30,exit,47500.0,1115.2352550857117,,
03/10/2021 17:45,buy,48866.8,48348.357142857145,49903.68571428572,1092.9305499839975
03/10/2021 21:00,exit,47932.4,158.53054998399602,,
04/10/2021 14:30,sell,47679.5,46960.850000000006,49116.79999999999,877.1805499839902
04/10/2021 14:30,exit,47679.5,877.1805499839902,,
05/10/2021 08:30,buy,49770.6,49294.49999999999,50722.80000000001,859.6369389843104
05/10/2021 19:00,exit,50773.0,1862.0369389843117,,
06/10/2021 02:30,buy,51532.4,50919.735714285714,52757.728571428575,1824.7962002046256
06/10/2021 08:30,exit,50621.7,914.0962002046213,,
07/10/2021 20:15,buy,54178.6,53602.364285714284,55331.07142857143,895.8142762005289
08/10/2021 08:30,exit,55647.5,2364.7142762005305,,
09/10/2021 04:15,buy,54642.2,54103.57142857142,55719.45714285715,2317.41999067652
10/10/2021 04:45,exit,55798.8,3474.0199906765256,,
10/10/2021 17:00,sell,55099.6,54567.87142857142,56163.05714285715,4005.748562105101
10/10/2021 17:00,exit,55099.6,4005.748562105101,,
12/10/2021 00:00,sell,56835.3,56182.00714285714,58141.88571428573,4659.041419247965
12/10/2021 00:00,exit,56835.3,4659.041419247965,,
12/10/2021 14:30,sell,56638.2,55820.72142857143,58273.15714285713,5476.519990676533
12/10/2021 14:30,exit,56638.2,5476.519990676533,,
14/10/2021 14:30,sell,57241.5,56525.03571428571,58674.42857142858,6192.984276390823
14/10/2021 14:30,exit,57241.5,6192.984276390823,,
14/10/2021 18:30,buy,57600.3,56832.042857142864,59136.81428571428,6069.124590863006
15/10/2021 03:30,exit,59160.6,7629.424590863002,,
15/10/2021 04:15,buy,59476.3,58207.66428571429,62013.571428571435,7476.836099045742
15/10/2021 20:15,exit,62397.9,10398.43609904574,,
16/10/2021 08:00,buy,61957.0,61312.6,63245.8,10190.467377064826
16/10/2021 12:30,exit,61151.4,9384.867377064827,,
17/10/2021 00:15,sell,60543.6,59861.59285714286,61907.61428571428,10066.874519921967
17/10/2021 00:15,exit,60543.6,10066.874519921967,,
18/10/2021 00:15,buy,61878.1,60673.642857142855,64287.014285714286,9865.537029523528
18/10/2021 12:45,exit,60555.6,8543.037029523528,,
19/10/2021 08:45,buy,62479.6,61791.44285714286,63855.91428571428,8372.176288933057
19/10/2021 14:15,exit,61677.5,7570.076288933058,,
20/10/2021 12:00,buy,64027.0,63546.12142857143,64988.75714285714,7418.674763154397
20/10/2021 13:30,exit,65763.3,9154.9747631544,,
20/10/2021 18:00,buy,66528.0,65758.77857142857,68066.44285714286,8971.875267891312
20/10/2021 20:15,exit,65658.9,8102.775267891306,,
21/10/2021 00:45,sell,65573.6,64924.91428571429,66870.97142857144,8751.460982177025
21/10/2021 00:45,exit,65573.6,8751.460982177025,,
21/10/2021 08:00,buy,65367.1,64452.20714285714,67196.88571428572,8576.431762533484
21/10/2021 12:00,exit,64448.5,7657.831762533486,,
21/10/2021 13:15,buy,65310.2,63846.799999999996,68237.0,7504.675127282816
21/10/2021 14:15,exit,63511.5,5705.975127282819,,
21/10/2021 23:15,sell,62216.0,61057.978571428575,64532.04285714285,6863.9965558542435
21/10/2021 23:15,exit,62216.0,6863.9965558542435,,
22/10/2021 05:15,sell,62780.1,62079.08571428571,64182.12857142857,7565.010841568529
22/10/2021 05:15,exit,62780.1,7565.010841568529,,
23/10/2021 09:00,sell,60728.5,60202.85714285714,61779.785714285725,8090.653698711391
23/10/2021 09:00,exit,60728.5,8090.653698711391,,
23/10/2021 21:30,buy,61224.5,60722.66428571429,62228.171428571426,7928.840624737163
24/10/2021 06:45,exit,60640.7,7345.04062473716,,
24/10/2021 09:00,buy,61009.9,60428.735714285714,62172.228571428575,7198.139812242417
24/10/2021 11:30,exit,60225.0,6413.239812242416,,
25/10/2021 05:15,buy,62027.6,61469.77142857143,63143.25714285713,6284.975015997567
25/10/2021 13:45,exit,63185.2,7442.575015997566,,
25/10/2021 21:00,buy,62942.7,62275.84285714286,64276.41428571427,7293.723515677615
26/10/2021 06:00,exit,62261.2,6612.223515677615,,
27/10/2021 04:15,buy,61222.9,60575.37142857143,62517.95714285714,6479.979045364063
27/10/2021 07:15,exit,60310.9,5567.979045364063,,
27/10/2021 22:30,sell,58514.8,57452.58571428572,60639.22857142857,6630.193331078345
27/10/2021 22:30,exit,58514.8,6630.193331078345,,
29/10/2021 07:00,sell,60733.5,59906.29285714286,62387.91428571429,7457.400473935489
29/10/2021 07:00,exit,60733.5,7457.400473935489,,
